шаг;старт_день;длительность;код;погода
309;308;1;2;Облачно
310;309;1;2;Облачно
311;310;1;3;Пасмурно
312;311;1;3;Пасмурно
313;312;1;3;Пасмурно
314;313;1;2;Облачно
315;314;1;2;Облачно
316;315;1;2;Облачно
317;316;1;2;Облачно
318;317;1;3;Пасмурно
319;318;1;2;Облачно
320;319;1;1;Ясно
321;320;1;1;Ясно
322;321;1;1;Ясно
323;322;1;1;Ясно
324;323;1;1;Ясно
325;324;1;3;Пасмурно
326;325;1;2;Облачно
327;326;1;1;Ясно
328;327;1;1;Ясно
329;328;1;1;Ясно
330;329;1;2;Облачно
331;330;1;3;Пасмурно
332;331;1;3;Пасмурно
333;332;1;2;Облачно
334;333;1;2;Облачно
335;334;1;3;Пасмурно
336;335;1;2;Облачно
337;336;1;1;Ясно
338;337;1;1;Ясно
339;338;1;1;Ясно
340;339;1;1;Ясно
341;340;1;1;Ясно
342;341;1;1;Ясно
343;342;1;3;Пасмурно
344;343;1;3;Пасмурно
345;344;1;1;Ясно
346;345;1;1;Ясно
347;346;1;1;Ясно
348;347;1;2;Облачно
349;348;1;2;Облачно
350;349;1;1;Ясно
351;350;1;3;Пасмурно
352;351;1;3;Пасмурно
353;352;1;3;Пасмурно
354;353;1;2;Облачно
355;354;1;2;Облачно
356;355;1;3;Пасмурно
357;356;1;2;Облачно
358;357;1;2;Облачно
359;358;1;2;Облачно
360;359;1;1;Ясно
361;360;1;1;Ясно
362;361;1;3;Пасмурно
363;362;1;1;Ясно
364;363;1;1;Ясно
365;364;1;1;Ясно
366;365;1;2;Облачно
367;366;1;1;Ясно
368;367;1;1;Ясно
369;368;1;1;Ясно
370;369;1;2;Облачно
371;370;1;3;Пасмурно
372;371;1;2;Облачно
373;372;1;3;Пасмурно
374;373;1;2;Облачно
375;374;1;3;Пасмурно
376;375;1;2;Облачно
377;376;1;2;Облачно
378;377;1;2;Облачно
379;378;1;2;Облачно
380;379;1;2;Облачно
381;380;1;3;Пасмурно
382;381;1;2;Облачно
383;382;1;1;Ясно
384;383;1;2;Облачно
385;384;1;2;Облачно
386;385;1;1;Ясно
387;386;1;1;Ясно
388;387;1;2;Облачно
389;388;1;3;Пасмурно
390;389;1;2;Облачно
391;390;1;1;Ясно
392;391;1;3;Пасмурно
393;392;1;1;Ясно
394;393;1;2;Облачно
395;394;1;3;Пасмурно
396;395;1;2;Облачно
397;396;1;2;Облачно
398;397;1;3;Пасмурно
399;398;1;3;Пасмурно
400;399;1;3;Пасмурно
401;400;1;2;Облачно
402;401;1;3;Пасмурно
403;402;1;3;Пасмурно
404;403;1;3;Пасмурно
405;404;1;3;Пасмурно
406;405;1;3;Пасмурно
407;406;1;2;Облачно
408;407;1;2;Облачно
409;408;1;1;Ясно
410;409;1;2;Облачно
411;410;1;3;Пасмурно
412;411;1;3;Пасмурно
413;412;1;2;Облачно
414;413;1;2;Облачно
415;414;1;1;Ясно
416;415;1;3;Пасмурно
417;416;1;1;Ясно
418;417;1;2;Облачно
419;418;1;3;Пасмурно
420;419;1;3;Пасмурно
421;420;1;3;Пасмурно
422;421;1;3;Пасмурно
423;422;1;1;Ясно
424;423;1;3;Пасмурно
425;424;1;3;Пасмурно
426;425;1;2;Облачно
427;426;1;3;Пасмурно
428;427;1;1;Ясно
429;428;1;1;Ясно
430;429;1;1;Ясно
431;430;1;1;Ясно
432;431;1;3;Пасмурно
433;432;1;3;Пасмурно
434;433;1;2;Облачно
435;434;1;3;Пасмурно
436;435;1;2;Облачно
437;436;1;2;Облачно
438;437;1;2;Облачно
439;438;1;2;Облачно
440;439;1;1;Ясно
441;440;1;1;Ясно
442;441;1;1;Ясно
443;442;1;2;Облачно
444;443;1;2;Облачно
445;444;1;2;Облачно
446;445;1;1;Ясно
447;446;1;1;Ясно
448;447;1;2;Облачно
449;448;1;2;Облачно
450;449;1;2;Облачно
451;450;1;1;Ясно
452;451;1;1;Ясно
453;452;1;1;Ясно
454;453;1;1;Ясно
455;454;1;2;Облачно
456;455;1;2;Облачно
457;456;1;3;Пасмурно
458;457;1;3;Пасмурно
459;458;1;3;Пасмурно
460;459;1;3;Пасмурно
461;460;1;3;Пасмурно
462;461;1;3;Пасмурно
463;462;1;3;Пасмурно
464;463;1;3;Пасмурно
465;464;1;1;Ясно
466;465;1;3;Пасмурно
467;466;1;2;Облачно
468;467;1;3;Пасмурно
469;468;1;3;Пасмурно
470;469;1;3;Пасмурно
471;470;1;2;Облачно
472;471;1;2;Облачно
473;472;1;1;Ясно
474;473;1;3;Пасмурно
475;474;1;3;Пасмурно
476;475;1;3;Пасмурно
477;476;1;3;Пасмурно
478;477;1;3;Пасмурно
479;478;1;3;Пасмурно
480;479;1;2;Облачно
481;480;1;2;Облачно
482;481;1;1;Ясно
483;482;1;1;Ясно
484;483;1;1;Ясно
485;484;1;1;Ясно
486;485;1;2;Облачно
487;486;1;3;Пасмурно
488;487;1;2;Облачно
489;488;1;2;Облачно
490;489;1;3;Пасмурно
491;490;1;2;Облачно
492;491;1;3;Пасмурно
493;492;1;3;Пасмурно
494;493;1;2;Облачно
495;494;1;2;Облачно
496;495;1;1;Ясно
497;496;1;1;Ясно
498;497;1;2;Облачно
499;498;1;3;Пасмурно
500;499;1;3;Пасмурно
501;500;1;3;Пасмурно
502;501;1;3;Пасмурно
503;502;1;2;Облачно
504;503;1;1;Ясно
505;504;1;1;Ясно
506;505;1;3;Пасмурно
507;506;1;2;Облачно
508;507;1;3;Пасмурно
509;508;1;3;Пасмурно
510;509;1;3;Пасмурно
511;510;1;3;Пасмурно
512;511;1;3;Пасмурно
513;512;1;3;Пасмурно
514;513;1;2;Облачно
515;514;1;2;Облачно
516;515;1;3;Пасмурно
517;516;1;1;Ясно
518;517;1;1;Ясно
519;518;1;3;Пасмурно
520;519;1;2;Облачно
521;520;1;2;Облачно
522;521;1;3;Пасмурно
523;522;1;2;Облачно
524;523;1;2;Облачно
525;524;1;2;Облачно
526;525;1;2;Облачно
527;526;1;3;Пасмурно
528;527;1;3;Пасмурно
529;528;1;3;Пасмурно
530;529;1;3;Пасмурно
531;530;1;3;Пасмурно
532;531;1;2;Облачно
533;532;1;2;Облачно
534;533;1;2;Облачно
535;534;1;2;Облачно
536;535;1;2;Облачно
537;536;1;3;Пасмурно
538;537;1;2;Облачно
539;538;1;3;Пасмурно
540;539;1;3;Пасмурно
541;540;1;1;Ясно
542;541;1;2;Облачно
543;542;1;3;Пасмурно
544;543;1;1;Ясно
545;544;1;1;Ясно
546;545;1;1;Ясно
547;546;1;2;Облачно
548;547;1;2;Облачно
549;548;1;3;Пасмурно
550;549;1;3;Пасмурно
551;550;1;2;Облачно
552;551;1;2;Облачно
553;552;1;3;Пасмурно
554;553;1;2;Облачно
555;554;1;3;Пасмурно
556;555;1;3;Пасмурно
557;556;1;3;Пасмурно
558;557;1;3;Пасмурно
559;558;1;2;Облачно
560;559;1;1;Ясно
561;560;1;2;Облачно
562;561;1;2;Облачно
563;562;1;2;Облачно
564;563;1;2;Облачно
565;564;1;3;Пасмурно
566;565;1;3;Пасмурно
567;566;1;3;Пасмурно
568;567;1;3;Пасмурно
569;568;1;2;Облачно
570;569;1;2;Облачно
571;570;1;2;Облачно
572;571;1;3;Пасмурно
573;572;1;3;Пасмурно
574;573;1;3;Пасмурно
575;574;1;2;Облачно
576;575;1;2;Облачно
577;576;1;2;Облачно
578;577;1;2;Облачно
579;578;1;2;Облачно
580;579;1;3;Пасмурно
581;580;1;3;Пасмурно
582;581;1;2;Облачно
583;582;1;1;Ясно
584;583;1;2;Облачно
585;584;1;2;Облачно
586;585;1;1;Ясно
587;586;1;1;Ясно
588;587;1;1;Ясно
589;588;1;1;Ясно
590;589;1;3;Пасмурно
591;590;1;3;Пасмурно
592;591;1;3;Пасмурно
593;592;1;3;Пасмурно
594;593;1;1;Ясно
595;594;1;3;Пасмурно
596;595;1;3;Пасмурно
597;596;1;3;Пасмурно
598;597;1;1;Ясно
599;598;1;1;Ясно
600;599;1;1;Ясно
601;600;1;1;Ясно
602;601;1;1;Ясно
603;602;1;1;Ясно
604;603;1;1;Ясно
605;604;1;1;Ясно
606;605;1;3;Пасмурно
607;606;1;2;Облачно
608;607;1;2;Облачно
609;608;1;3;Пасмурно
610;609;1;1;Ясно
611;610;1;2;Облачно
612;611;1;1;Ясно
613;612;1;2;Облачно
614;613;1;2;Облачно
615;614;1;3;Пасмурно
616;615;1;3;Пасмурно
617;616;1;1;Ясно
618;617;1;1;Ясно
619;618;1;1;Ясно
620;619;1;2;Облачно
621;620;1;2;Облачно
622;621;1;1;Ясно
623;622;1;1;Ясно
624;623;1;2;Облачно
625;624;1;3;Пасмурно
626;625;1;3;Пасмурно
627;626;1;3;Пасмурно
628;627;1;2;Облачно
629;628;1;1;Ясно
630;629;1;1;Ясно
631;630;1;1;Ясно
632;631;1;2;Облачно
633;632;1;1;Ясно
634;633;1;2;Облачно
635;634;1;3;Пасмурно
636;635;1;2;Облачно
637;636;1;3;Пасмурно
638;637;1;2;Облачно
639;638;1;2;Облачно
640;639;1;2;Облачно
641;640;1;2;Облачно
642;641;1;3;Пасмурно
643;642;1;3;Пасмурно
644;643;1;3;Пасмурно
645;644;1;2;Облачно
646;645;1;2;Облачно
647;646;1;2;Облачно
648;647;1;3;Пасмурно
649;648;1;2;Облачно
650;649;1;3;Пасмурно
651;650;1;3;Пасмурно
652;651;1;3;Пасмурно
653;652;1;3;Пасмурно
654;653;1;3;Пасмурно
655;654;1;2;Облачно
656;655;1;2;Облачно
657;656;1;1;Ясно
658;657;1;1;Ясно
659;658;1;3;Пасмурно
660;659;1;1;Ясно
661;660;1;2;Облачно
662;661;1;2;Облачно
663;662;1;2;Облачно
664;663;1;3;Пасмурно
665;664;1;2;Облачно
666;665;1;2;Облачно
667;666;1;3;Пасмурно
668;667;1;2;Облачно
669;668;1;3;Пасмурно
670;669;1;3;Пасмурно
671;670;1;3;Пасмурно
672;671;1;1;Ясно
673;672;1;1;Ясно
674;673;1;2;Облачно
675;674;1;2;Облачно
676;675;1;2;Облачно
677;676;1;2;Облачно
678;677;1;2;Облачно
679;678;1;1;Ясно
680;679;1;2;Облачно
681;680;1;1;Ясно
682;681;1;1;Ясно
683;682;1;2;Облачно
684;683;1;3;Пасмурно
685;684;1;3;Пасмурно
686;685;1;1;Ясно
687;686;1;1;Ясно
688;687;1;2;Облачно
689;688;1;3;Пасмурно
690;689;1;3;Пасмурно
691;690;1;2;Облачно
692;691;1;3;Пасмурно
693;692;1;3;Пасмурно
694;693;1;3;Пасмурно
695;694;1;3;Пасмурно
696;695;1;3;Пасмурно
697;696;1;3;Пасмурно
698;697;1;2;Облачно
699;698;1;2;Облачно
700;699;1;2;Облачно
701;700;1;1;Ясно
702;701;1;1;Ясно
703;702;1;1;Ясно
704;703;1;1;Ясно
705;704;1;1;Ясно
706;705;1;3;Пасмурно
707;706;1;2;Облачно
708;707;1;2;Облачно
709;708;1;2;Облачно
710;709;1;2;Облачно
711;710;1;3;Пасмурно
712;711;1;1;Ясно
713;712;1;1;Ясно
714;713;1;3;Пасмурно
715;714;1;2;Облачно
716;715;1;3;Пасмурно
717;716;1;3;Пасмурно
718;717;1;3;Пасмурно
719;718;1;3;Пасмурно
720;719;1;3;Пасмурно
721;720;1;3;Пасмурно
722;721;1;2;Облачно
723;722;1;1;Ясно
724;723;1;1;Ясно
725;724;1;2;Облачно
726;725;1;3;Пасмурно
727;726;1;3;Пасмурно
728;727;1;3;Пасмурно
729;728;1;3;Пасмурно
730;729;1;2;Облачно
731;730;1;2;Облачно
732;731;1;1;Ясно
733;732;1;1;Ясно
734;733;1;1;Ясно
735;734;1;1;Ясно
736;735;1;1;Ясно
737;736;1;2;Облачно
738;737;1;2;Облачно
739;738;1;2;Облачно
740;739;1;2;Облачно
741;740;1;2;Облачно
742;741;1;1;Ясно
743;742;1;1;Ясно
744;743;1;1;Ясно
745;744;1;1;Ясно
746;745;1;2;Облачно
747;746;1;2;Облачно
748;747;1;2;Облачно
749;748;1;2;Облачно
750;749;1;1;Ясно
751;750;1;1;Ясно
752;751;1;1;Ясно
753;752;1;1;Ясно
754;753;1;1;Ясно
755;754;1;2;Облачно
756;755;1;2;Облачно
757;756;1;2;Облачно
758;757;1;2;Облачно
759;758;1;2;Облачно
760;759;1;3;Пасмурно
761;760;1;2;Облачно
762;761;1;3;Пасмурно
763;762;1;3;Пасмурно
764;763;1;1;Ясно
765;764;1;1;Ясно
766;765;1;3;Пасмурно
767;766;1;1;Ясно
768;767;1;1;Ясно
769;768;1;1;Ясно
770;769;1;1;Ясно
771;770;1;2;Облачно
772;771;1;2;Облачно
773;772;1;2;Облачно
774;773;1;1;Ясно
775;774;1;1;Ясно
776;775;1;1;Ясно
777;776;1;1;Ясно
778;777;1;1;Ясно
779;778;1;2;Облачно
780;779;1;3;Пасмурно
781;780;1;3;Пасмурно
782;781;1;3;Пасмурно
783;782;1;3;Пасмурно
784;783;1;2;Облачно
785;784;1;2;Облачно
786;785;1;2;Облачно
787;786;1;1;Ясно
788;787;1;3;Пасмурно
789;788;1;1;Ясно
790;789;1;1;Ясно
791;790;1;3;Пасмурно
792;791;1;2;Облачно
793;792;1;2;Облачно
794;793;1;3;Пасмурно
795;794;1;3;Пасмурно
796;795;1;2;Облачно
797;796;1;2;Облачно
798;797;1;1;Ясно
799;798;1;1;Ясно
800;799;1;1;Ясно
801;800;1;1;Ясно
802;801;1;1;Ясно
803;802;1;1;Ясно
804;803;1;2;Облачно
805;804;1;1;Ясно
806;805;1;2;Облачно
807;806;1;2;Облачно
808;807;1;1;Ясно
809;808;1;1;Ясно
810;809;1;1;Ясно
811;810;1;2;Облачно
812;811;1;3;Пасмурно
813;812;1;3;Пасмурно
814;813;1;3;Пасмурно
815;814;1;3;Пасмурно
816;815;1;3;Пасмурно
817;816;1;2;Облачно
818;817;1;1;Ясно
819;818;1;2;Облачно
820;819;1;1;Ясно
821;820;1;1;Ясно
822;821;1;1;Ясно
823;822;1;1;Ясно
824;823;1;2;Облачно
825;824;1;3;Пасмурно
826;825;1;1;Ясно
827;826;1;2;Облачно
828;827;1;3;Пасмурно
829;828;1;2;Облачно
830;829;1;2;Облачно
831;830;1;2;Облачно
832;831;1;3;Пасмурно
833;832;1;1;Ясно
834;833;1;1;Ясно
835;834;1;2;Облачно
836;835;1;3;Пасмурно
837;836;1;2;Облачно
838;837;1;2;Облачно
839;838;1;1;Ясно
840;839;1;1;Ясно
841;840;1;1;Ясно
842;841;1;1;Ясно
843;842;1;2;Облачно
844;843;1;2;Облачно
845;844;1;3;Пасмурно
846;845;1;3;Пасмурно
847;846;1;2;Облачно
848;847;1;1;Ясно
849;848;1;3;Пасмурно
850;849;1;3;Пасмурно
851;850;1;2;Облачно
852;851;1;3;Пасмурно
853;852;1;3;Пасмурно
854;853;1;2;Облачно
855;854;1;2;Облачно
856;855;1;2;Облачно
857;856;1;3;Пасмурно
858;857;1;3;Пасмурно
859;858;1;3;Пасмурно
860;859;1;2;Облачно
861;860;1;1;Ясно
862;861;1;2;Облачно
863;862;1;3;Пасмурно
864;863;1;2;Облачно
865;864;1;3;Пасмурно
866;865;1;2;Облачно
867;866;1;1;Ясно
868;867;1;1;Ясно
869;868;1;1;Ясно
870;869;1;2;Облачно
871;870;1;1;Ясно
872;871;1;1;Ясно
873;872;1;1;Ясно
874;873;1;1;Ясно
875;874;1;1;Ясно
876;875;1;2;Облачно
877;876;1;2;Облачно
878;877;1;2;Облачно
879;878;1;2;Облачно
880;879;1;2;Облачно
881;880;1;2;Облачно
882;881;1;2;Облачно
883;882;1;2;Облачно
884;883;1;1;Ясно
885;884;1;3;Пасмурно
886;885;1;3;Пасмурно
887;886;1;3;Пасмурно
888;887;1;3;Пасмурно
889;888;1;3;Пасмурно
890;889;1;3;Пасмурно
891;890;1;2;Облачно
892;891;1;2;Облачно
893;892;1;1;Ясно
894;893;1;2;Облачно
895;894;1;3;Пасмурно
896;895;1;3;Пасмурно
897;896;1;2;Облачно
898;897;1;2;Облачно
899;898;1;2;Облачно
900;899;1;2;Облачно
901;900;1;3;Пасмурно
902;901;1;1;Ясно
903;902;1;1;Ясно
904;903;1;1;Ясно
905;904;1;1;Ясно
906;905;1;1;Ясно
907;906;1;1;Ясно
908;907;1;1;Ясно
909;908;1;1;Ясно
910;909;1;2;Облачно
911;910;1;3;Пасмурно
912;911;1;2;Облачно
913;912;1;2;Облачно
914;913;1;1;Ясно
915;914;1;2;Облачно
916;915;1;1;Ясно
917;916;1;1;Ясно
918;917;1;2;Облачно
919;918;1;3;Пасмурно
920;919;1;2;Облачно
921;920;1;2;Облачно
922;921;1;1;Ясно
923;922;1;2;Облачно
924;923;1;2;Облачно
925;924;1;1;Ясно
926;925;1;1;Ясно
927;926;1;1;Ясно
928;927;1;2;Облачно
929;928;1;2;Облачно
930;929;1;2;Облачно
931;930;1;1;Ясно
932;931;1;1;Ясно
933;932;1;2;Облачно
934;933;1;2;Облачно
935;934;1;3;Пасмурно
936;935;1;1;Ясно
937;936;1;1;Ясно
938;937;1;1;Ясно
939;938;1;1;Ясно
940;939;1;1;Ясно
941;940;1;2;Облачно
942;941;1;3;Пасмурно
943;942;1;2;Облачно
944;943;1;3;Пасмурно
945;944;1;3;Пасмурно
946;945;1;3;Пасмурно
947;946;1;2;Облачно
948;947;1;1;Ясно
949;948;1;1;Ясно
950;949;1;1;Ясно
951;950;1;1;Ясно
952;951;1;3;Пасмурно
953;952;1;2;Облачно
954;953;1;3;Пасмурно
955;954;1;2;Облачно
956;955;1;2;Облачно
957;956;1;2;Облачно
958;957;1;2;Облачно
959;958;1;1;Ясно
960;959;1;1;Ясно
961;960;1;2;Облачно
962;961;1;2;Облачно
963;962;1;3;Пасмурно
964;963;1;2;Облачно
965;964;1;2;Облачно
966;965;1;3;Пасмурно
967;966;1;3;Пасмурно
968;967;1;3;Пасмурно
969;968;1;3;Пасмурно
970;969;1;3;Пасмурно
971;970;1;2;Облачно
972;971;1;2;Облачно
973;972;1;2;Облачно
974;973;1;1;Ясно
975;974;1;1;Ясно
976;975;1;1;Ясно
977;976;1;1;Ясно
978;977;1;1;Ясно
979;978;1;2;Облачно
980;979;1;1;Ясно
981;980;1;1;Ясно
982;981;1;1;Ясно
983;982;1;1;Ясно
984;983;1;1;Ясно
985;984;1;3;Пасмурно
986;985;1;3;Пасмурно
987;986;1;2;Облачно
988;987;1;1;Ясно
989;988;1;2;Облачно
990;989;1;1;Ясно
991;990;1;3;Пасмурно
992;991;1;3;Пасмурно
993;992;1;3;Пасмурно
994;993;1;2;Облачно
995;994;1;1;Ясно
996;995;1;1;Ясно
997;996;1;1;Ясно
998;997;1;1;Ясно
999;998;1;2;Облачно
1000;999;1;2;Облачно
1001;1000;1;2;Облачно
1002;1001;1;2;Облачно
1003;1002;1;2;Облачно
1004;1003;1;1;Ясно
1005;1004;1;1;Ясно
1006;1005;1;1;Ясно
1007;1006;1;2;Облачно
1008;1007;1;3;Пасмурно
1009;1008;1;3;Пасмурно
1010;1009;1;3;Пасмурно
1011;1010;1;3;Пасмурно
1012;1011;1;3;Пасмурно
1013;1012;1;1;Ясно
1014;1013;1;1;Ясно
1015;1014;1;2;Облачно
1016;1015;1;1;Ясно
1017;1016;1;1;Ясно
1018;1017;1;1;Ясно
